"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNIP3",0,-0.215784630060315,0.015,0.166,0
"SPRY1",0,-0.341755616568417,0.522,0.635,0
"LINC01091",0,-0.607105821121511,0.291,0.462,0
"ANKRD50",0,-0.207347180817432,0.302,0.417,0
"FAT4",0,-0.19644066720875,0.015,0.132,0
"HSPA4L",0,0.222447687862795,0.516,0.342,0
"AC096711.2",0,0.133919916308095,0.106,0.015,0
"MAML3",0,-0.497709427723574,0.453,0.659,0
"SMARCA5",0,-0.257145587509495,0.666,0.752,0
"RPS3A",0,-0.300772641334131,0.995,0.995,0
"TMEM154",0,0.351030315227332,0.604,0.378,0
"TRIM2",0,-0.654571213760266,0.58,0.766,0
"TLR2",0,-0.160802663393017,0.114,0.218,0
"LRAT",0,-0.146683191806294,0.036,0.137,0
"MAP9",0,-0.265467869048041,0.065,0.248,0
"GUCY1A1",0,-1.45126336219682,0.044,0.704,0
"GUCY1B1",0,-0.313776376837212,0.008,0.248,0
"TDO2",0,-0.303302412031543,0.016,0.217,0
"CTSO",0,-0.111938466131556,0.095,0.193,0
"PDGFC",0,-0.278844929228217,0.299,0.441,0
"MARCH1",0,-0.165916213355199,0.03,0.134,0
"ANXA10",0,-0.279688055748476,0.027,0.204,0
"SH3RF1",0,-0.401620445387768,0.39,0.594,0
"GALNT7",0,-0.253405672123668,0.412,0.531,0
"HPGD",0,-0.373062985093472,0.055,0.19,0
"AC097518.2",0,0.15738855033589,0.109,0.016,0
"TENM3",0,0.422686407593552,0.544,0.267,0
"STOX2",0,-0.420531607822542,0.37,0.552,0
"ANKRD37",0,0.382398195952124,0.515,0.319,0
"SORBS2",0,-0.200315831353421,0.072,0.167,0
"LINC01060",0,0.291569235027721,0.138,0.041,0
"PLEKHG4B",0,0.0687933718166292,0.186,0.085,0
"EXOC3",0,0.241822372160428,0.485,0.331,0
"AC124852.1",0,0.391212722020086,0.413,0.246,0
"IRX2",0,0.185733803996961,0.327,0.149,0
"C5orf38",0,0.176437380868546,0.493,0.29,0
"CCT5",0,0.311979418722155,0.834,0.725,0
"RETREG1",0,0.218289883210569,0.25,0.073,0
"C5orf17",0,-0.140265736331969,0.002,0.1,0
"PURPL",0,0.138108289240386,0.161,0.041,0
"SUB1",0,0.255893670590718,0.969,0.928,0
"RAI14",0,-1.32899086788975,0.361,0.739,0
"SPEF2",0,-0.164844445286299,0.024,0.146,0
"SLC1A3",0,-0.454076510999363,0.231,0.402,0
"FYB1",0,-0.304220571024003,0.284,0.412,0
"DAB2",0,-0.125853789270262,0.02,0.113,0
"RPL37",0,-0.390295356364192,0.996,0.997,0
"C7",0,-0.259045608779593,0.002,0.101,0
"GHR",0,-1.29079248554291,0.112,0.458,0
"SELENOP",0,-0.5414743533238,0.085,0.402,0
"NNT",0,-0.179961793857069,0.227,0.359,0
"EMB",0,0.200659914956929,0.355,0.163,0
"FST",0,-0.486250483375763,0.188,0.349,0
"ARL15",0,-0.456763605040293,0.623,0.711,0
"PLPP1",0,-0.401454837664189,0.442,0.559,0
"AC106798.1",0,-0.192253251832659,0.088,0.233,0
"PIK3R1",0,-0.437585315626602,0.43,0.605,0
"MAP1B",0,0.216508962913799,0.395,0.261,0
"IQGAP2",0,-0.0927607954112205,0.027,0.107,0
"SSBP2",0,-0.691343099460086,0.416,0.754,0
"VCAN",0,-0.395753302714965,0.011,0.131,0
"ADGRV1",0,-0.245477235219876,0.289,0.431,0
"RHOBTB3",0,-0.227093976442573,0.205,0.411,0
"AC104123.1",0,-0.620176907028754,0.402,0.608,0
"LIX1-AS1",0,-0.260174124346163,0.138,0.29,0
"FAM174A",0,0.19598773137128,0.43,0.265,0
"SLCO6A1",0,-0.116478961513867,0.057,0.148,0
"LINC00491",0,-0.186089477656377,0.179,0.339,0
"PJA2",0,0.233238530811442,0.631,0.497,0
"MAN2A1",0,0.162736603977636,0.46,0.306,0
"EPB41L4A",0,-0.30506742237351,0.12,0.353,0
"AP3S1",0,0.270316401158578,0.715,0.539,0
