"","column","cor","p.adj"
"627","AMMECR1L",-0.00713998222355841,1
"628","AMN",0.231026629923096,1
"629","AMN1",0.092902793085358,1
"630","AMOT",-0.248823399049879,1
"631","AMOTL1",0.439743414791533,0.16036130318075
"632","AMOTL2",0.184025420471063,1
"633","AMPD1",-0.124120676044716,1
"634","AMPD2",-0.074660348657258,1
"635","AMPD3",0.417283511762271,0.500608747440413
"636","AMPH",-0.318736710863415,1
"637","AMT",0.061577454444019,1
"638","AMTN",0.186953840908173,1
"639","AMY1A",0.0349315679035581,1
"640","AMY1B",0.172905001664742,1
"641","AMY1C",0.206346666684973,1
"642","AMY2A",0.0380827299569794,1
"643","AMY2B",0.018871062787701,1
"644","AMZ1",0.0673132100732133,1
"645","AMZ2",0.0679052741826642,1
"646","ANAPC1",-0.0606974750664099,1
"647","ANAPC10",0.238150906144518,1
"648","ANAPC11",-0.0121083169442414,1
"649","ANAPC13",0.225816611496534,1
"650","ANAPC15",0.14572572404429,1
"651","ANAPC16",0.130161652436412,1
"652","ANAPC2",0.0636754320660376,1
"653","ANAPC4",-0.0969339368104828,1
"654","ANAPC5",-0.030096448630858,1
"655","ANAPC7",-0.0985000665529372,1
"656","ANG",0.0506668080306133,1
"657","ANGEL1",0.0721522844795017,1
"658","ANGEL2",-0.24662378411207,1
"659","ANGPT1",-0.230334931240976,1
"660","ANGPT2",-0.25431921206097,1
"661","ANGPT4",0.247695161681514,1
"662","ANGPTL1",-0.0641854061022624,1
"663","ANGPTL2",0.0556775268011547,1
"664","ANGPTL3",-0.0402867125063998,1
"665","ANGPTL4",0.274715753685653,1
"666","ANGPTL5",0.0615230157833708,1
"667","ANGPTL6",-0.0432343409875885,1
"668","ANGPTL7",-0.18098051580247,1
"669","ANGPTL8",-0.148513107175099,1
"670","ANHX",-0.0977920477928065,1
"671","ANK1",0.0114498413839386,1
"672","ANK2",-0.12993589069736,1
"673","ANK3",-0.049869630182396,1
"674","ANKAR",-0.275378535558392,1
"675","ANKDD1A",-0.265713362747366,1
"676","ANKDD1B",0.160032532576718,1
"677","ANKEF1",0.34262342743512,1
"678","ANKFN1",-0.0398490992416456,1
"679","ANKFY1",-0.162308392499152,1
"680","ANKH",-0.176555200224847,1
"681","ANKHD1",0.0155279938032406,1
"682","ANKHD1-EIF4EBP3",0.0107871241857237,1
"683","ANKIB1",-0.0117657763696339,1
"684","ANKK1",0.333662922652474,1
"685","ANKLE1",-0.272086750862625,1
"686","ANKLE2",0.0696440632332705,1
"687","ANKMY1",-0.08790043499929,1
"688","ANKMY2",-0.107193851933934,1
"689","ANKRA2",0.131972519320863,1
"690","ANKRD1",0.110729555768839,1
