"","column","cor","p.adj","corr_order","label"
"9423","LNX1",0.109486357497947,1,4005,""
"9424","LNX2",0.322957390998734,1,8223,""
"9432","LOXHD1",0.0813898707776378,1,3061,""
"9434","LOXL2",0.0345404406652167,1,1334,""
"9436","LOXL4",0.0948773783965985,1,3531,""
"9438","LPAR1",0.275930371897708,1,7631,""
"9439","LPAR2",0.248288654410385,1,7234,""
"9440","LPAR3",0.284018603629413,1,7740,""
"9442","LPAR5",0.282410984470175,1,7718,""
"9443","LPAR6",0.146947868800566,1,5044,""
"9445","LPCAT2",0.225285570499349,1,6830,""
"9446","LPCAT3",0.124113748192042,1,4417,""
"9447","LPCAT4",0.28074190732348,1,7690,""
"9453","LPO",0.0290188813297987,1,1135,""
"9454","LPP",0.168315689152347,1,5577,""
"9455","LPXN",0.138538516517944,1,4815,""
"9456","LRAT",0.104879954840812,1,3865,""
"9457","LRATD1",0.205554171812052,1,6432,""
"9458","LRATD2",0.296236286331012,1,7902,""
"9459","LRBA",0.102661650792352,1,3787,""
"9460","LRCH1",0.305085052921024,1,8015,""
"9462","LRCH3",0.109524176430905,1,4007,""
"9468","LRFN4",0.151012594904676,1,5161,""
"9470","LRG1",0.369075092484877,1,8579,""
"9472","LRIF1",0.291070710114359,1,7823,""
"9474","LRIG2",0.123916458246482,1,4410,""
"9475","LRIG3",0.0539994753375106,1,2083,""
"9478","LRIT3",0.0226461009870685,1,900,""
"9481","LRP10",0.160807836217667,1,5402,""
"9482","LRP11",0.15329322877595,1,5207,""
"9489","LRP5",0.200143479555389,1,6332,""
"9492","LRPAP1",0.0583233883149117,1,2228,""
"9494","LRR1",0.0882379702731699,1,3316,""
"9495","LRRC1",0.227231844847615,1,6868,""
"9503","LRRC19",0.0490863554074361,1,1884,""
"9510","LRRC27",0.0392405416059235,1,1513,""
"9511","LRRC28",0.0441913540548577,1,1704,""
