"","column","cor","p.adj","corr_order","label"
"735","EIF2AK2",0.0146493917445005,1,627,""
"738","MCOLN3",0.0641020982699042,1,2449,""
"741","MRPL43",0.0770083314222141,1,2851,""
"744","HPF1",0.115178625207715,1,3864,""
"749","TRAF1",0.0216995455174593,1,895,""
"750","RC3H2",0.166921703582677,1,4850,""
"752","TRAF3IP2",0.382944616558173,7.12162369942087e-12,6413,""
"754","DCBLD2",0.355525569554136,1.03063704752242e-09,6344,""
"755","SERPINB3",0.0654651941971047,1,2498,""
"756","SOAT1",0.148134728500699,1,4526,""
"757","PKP2",0.304337301007574,3.27467914285321e-06,6160,""
"761","PRDM1",0.167025377704938,1,4852,""
"762","ATG5",0.110771628156061,1,3754,""
"763","TMCC3",0.291178639345578,2.0432870558672e-05,6106,""
"764","PITHD1",0.116594625954979,1,3893,""
"768","LAMC2",0.565256012435288,1.25420341639635e-32,6605,"LAMC2"
"769","CDK14",0.0600768391824123,1,2336,""
"770","SEC61A1",0.0206161833690422,1,852,""
"771","PPP1R12A",0.0097465775683474,1,433,""
"772","RASGRF1",0.215893554989291,0.123456879458943,5518,""
"776","ATP2B4",0.0149003578522368,1,639,""
"778","RIOK2",0.183673071845453,1,5108,""
"779","YIPF1",0.156154165820979,1,4671,""
"780","NDC1",0.0682199345135844,1,2602,""
"785","PARP12",0.208791655908066,0.241436365607402,5446,""
"788","GATB",0.323772207565282,1.83617019241227e-07,6247,""
"789","MXD1",0.212195341509487,0.175484120271741,5479,""
"790","CDK17",0.0338753187228936,1,1389,""
"791","DNAJC25",0.037796862835532,1,1522,""
"792","SLC2A3",0.0146154737187193,1,626,""
"798","CCAR1",0.0886008811606486,1,3174,""
"799","OGFR",0.0928316697186921,1,3302,""
"800","GNA15",0.418966207518382,4.84296604711651e-15,6486,""
"802","PIGV",0.133665505746711,1,4259,""
"803","PTPRU",0.0502164083810368,1,1984,""
"804","SNRNP40",0.183848952485762,1,5110,""
"817","MRPS35",0.0181207439014068,1,765,""
"822","CDH3",0.486905522064271,3.67569939642608e-22,6572,""
"824","GPBP1",0.0328361979860409,1,1351,""
"825","DGAT2",0.0964873080382142,1,3396,""
"826","ZNF112",0.0177722495014495,1,744,""
"829","MRPS24",0.196880786449697,0.702416549451347,5305,""
"831","WAPL",0.0663801094316878,1,2541,""
"832","VMP1",0.160017156274639,1,4751,""
"834","POLD1",0.0528679784565677,1,2088,""
"843","U2AF2",0.0695332677537318,1,2646,""
"844","EPN1",0.194961711976708,0.829040592818438,5277,""
"853","RNF4",0.0485003816102042,1,1921,""
"854","CASP8",0.0517607825351121,1,2054,""
"856","INTS13",0.127154991926256,1,4118,""
"858","DLX3",0.0988400486901302,1,3463,""
"863","ST3GAL6",0.138669404151585,1,4353,""
"864","ATP2C2",0.0279926817986561,1,1154,""
"865","NGFR",0.147923713858882,1,4520,""
"867","TAF2",0.130051160881221,1,4174,""
"874","CTSA",0.0571403724608091,1,2232,""
"876","SLC12A2",0.0272311193179743,1,1122,""
"877","SNX24",0.0666817336016332,1,2553,""
"879","CNN2",0.126542611518545,1,4102,""
"882","DDX20",0.156007249285221,1,4669,""
"886","POU1F1",0.0153738967023821,1,656,""
"887","CHI3L2",0.0772615338594871,1,2863,""
"888","SBNO2",0.190723051064212,1,5214,""
"892","TAF11",0.0232276880571668,1,954,""
"894","AP3D1",0.0184342748929789,1,779,""
"898","GNAI3",0.367246261945092,1.30274299079349e-10,6373,""
"899","IPO5",0.173681831021581,1,4943,""
"901","WDR3",0.0515830018149402,1,2047,""
"902","PKN2",0.107743699608668,1,3674,""
"907","MCM10",0.00409146940397314,1,183,""
"908","DGKA",0.191899141321873,1,5235,""
"910","ROPN1",0.159442985361715,1,4742,""
"912","KARS1",0.170585332971918,1,4897,""
"913","ADAT1",0.0827263590966228,1,3012,""
"914","PDIA5",0.00598421214343144,1,275,""
"915","TBC1D22B",0.0775697219934672,1,2873,""
"919","ZC3H15",0.0375592536009802,1,1515,""
"920","MAP2K4",0.192456975637031,1,5243,""
"923","SLK",0.233495309945314,0.0209646022479851,5671,""
"924","CYB5R4",0.0211309596113946,1,874,""
"925","COL17A1",0.488761419884687,2.22642359088862e-22,6575,""
"928","PRKCQ",0.176221857401423,1,4980,""
"930","ASB1",0.0860550544930907,1,3108,""
"933","TBC1D1",0.0322996410937884,1,1326,""
"935","MTHFD2",0.0127295780456342,1,540,""
"938","YBX1",0.126527588675462,1,4101,""
"945","SMARCD1",0.0602417936319287,1,2340,""
"950","NGEF",0.10417985937379,1,3589,""
"953","ELOVL1",0.302927071400018,4.00202033457601e-06,6151,""
"955","POLR1H",0.0452220303794777,1,1813,""
"958","ZBTB11",0.00986709174790508,1,439,""
"959","ATXN3",0.104445812377917,1,3599,""
"960","GOLGA5",0.124055733258703,1,4046,""
"962","LRRC40",0.228792664021554,0.0342010502122611,5640,""
"965","TRMT11",0.0579829333644252,1,2264,""
"967","MSANTD3",0.231602802616582,0.0255607004751568,5655,""
"973","MTFR1",0.229716851554995,0.0310947079225178,5644,""
"976","MYO9A",0.0296140320944372,1,1226,""
"977","DDX3Y",0.0498700629549767,1,1971,""
"978","PFKP",0.101256385303655,1,3520,""
"980","SP100",0.271512476730909,0.000264508253519235,5987,""
"981","KLF6",0.389087994891117,2.18550146268113e-12,6426,""
"984","TRAM1",0.192071865788308,1,5236,""
"986","TNFRSF1A",0.187148453321264,1,5167,""
"988","EVI5",0.151988048383514,1,4600,""
"989","STOML1",0.154326462282568,1,4640,""
"990","PKM",0.378050517631938,1.79273475223274e-11,6400,""
"991","DHX29",0.0944678022744042,1,3334,""
"992","DNTTIP2",0.178438345466329,1,5015,""
"993","METTL22",0.109757160723377,1,3726,""
"996","RRP15",0.112406529008477,1,3791,""
"997","RHOA",0.0892070972088117,1,3189,""
"999","PRKCZ",0.184285850366329,1,5123,""
"1000","ZFY",0.039821810743778,1,1595,""
"1003","NAV3",0.372390988793587,5.11376549975223e-11,6379,""
"1004","IDH3G",0.0317874423134718,1,1312,""
"1009","CBFB",0.0613331546093491,1,2363,""
"1013","RASSF1",0.00473355828118849,1,213,""
"1015","IFI35",0.130567262999159,1,4189,""
"1019","MEF2A",0.0234362071420225,1,966,""
"1023","ACSL4",0.13492277536118,1,4289,""
"1024","INPP5A",0.00361827180288229,1,159,""
"1027","FTSJ1",0.273282906304108,0.000211774194822976,5998,""
"1028","PRR11",0.287713480184348,3.25849234097058e-05,6089,""
"1030","ATP11A",0.0804987498290217,1,2951,""
"1032","LAPTM4A",0.0698693695911126,1,2655,""
"1033","TTC7A",0.0484659470067473,1,1919,""
"1036","SRBD1",0.0201209174129625,1,834,""
"1037","KIF2A",0.0140250801327135,1,602,""
"1043","PPP2R5B",0.29007784960415,2.37095450740901e-05,6102,""
"1045","PAGE1",0.00326211592200564,1,144,""
"1048","MAST4",0.117984480677019,1,3922,""
"1050","SDK2",0.185976236210091,1,5152,""
"1054","VPS35",0.113645969928076,1,3818,""
"1055","DNAJA2",0.157637425758686,1,4701,""
"1067","HES2",0.145918584617989,1,4484,""
"1069","NEDD4",0.270994136547217,0.000282174764917287,5981,""
"1070","PIGB",0.00741133782812911,1,333,""
"1071","MAPK6",0.190027252518115,1,5208,""
"1072","GNB5",0.0914508985266865,1,3254,""
"1073","RAB27A",0.0314394917071696,1,1303,""
"1079","PHRF1",0.150960090498075,1,4578,""
"1080","ELP1",0.081173000560269,1,2972,""
"1083","PTPN3",0.00938525170497582,1,416,""
"1085","DAPP1",0.346261800702333,4.97357897883883e-09,6313,""
"1090","EXOC5",0.130698505860619,1,4193,""
"1092","FGF22",0.00354039301076071,1,155,""
"1093","FSTL3",0.437828828671349,7.34952298532978e-17,6516,""
"1095","RNF126",0.121484519441624,1,3991,""
"1098","JMJD6",0.147822141928622,1,4517,""
"1102","FRMPD1",0.0254042127473074,1,1042,""
"1104","NDST1",0.158272814086634,1,4709,""
"1107","CNGB1",0.293671330225202,1.45487498274523e-05,6118,""
"1113","CSNK2A2",0.0915593412737816,1,3259,""
"1114","PTPN21",0.206708874339972,0.292589862456448,5424,""
"1115","EIF2B3",0.307437974553815,2.09853905071913e-06,6179,""
"1116","CAMK2A",0.111316150624119,1,3768,""
"1117","TCOF1",0.159880440699234,1,4747,""
"1118","CDC42",0.376822933238758,2.25494127000209e-11,6398,""
"1119","OSBPL3",0.314624522439734,7.32217422779335e-07,6207,""
"1120","EPHA8",0.0730778824143912,1,2756,""
"1122","RAD18",0.0634300055497323,1,2431,""
"1125","NCK2",0.0245284353978517,1,1001,""
"1126","MAP4K4",0.259381711852896,0.00115689774352651,5892,""
"1129","WDR1",0.226497339159089,0.0432497063457018,5617,""
"1130","SNX13",0.0678798074028469,1,2592,""
"1132","ARHGAP10",0.242548914796128,0.00791246101312877,5760,""
"1139","TRIP13",0.0821212104405993,1,3000,""
"1143","DAZAP1",0.0543019908464091,1,2145,""
"1145","PRLH",0.0173949525919692,1,729,""
"1149","CPSF1",0.0768869263817721,1,2848,""
"1150","MYO3B",0.17869703460641,1,5020,""
"1154","SLC6A15",0.311845370650768,1.10419538338106e-06,6197,""
"1155","RDH11",0.148906178834689,1,4547,""
"1159","ACTN1",0.461363322856985,2.69896519327196e-19,6545,""
"1160","ZFYVE26",0.0921760436144704,1,3283,""
"1171","TRPC5",0.116511829174618,1,3891,""
"1172","AFF4",0.0589298130529385,1,2292,""
"1173","UBE2D1",0.0639624280469733,1,2444,""
"1177","MARK2",0.0768613988382782,1,2847,""
"1178","HMMR",0.22823146922654,0.0362403863744875,5632,""
"1179","CHFR",0.00231829906268549,1,99,""
"1180","TRHDE",0.188329506792883,1,5186,""
"1181","P4HA2",0.37120385693134,6.3527513504241e-11,6375,""
"1186","STK10",0.234442909877847,0.0189701879668441,5686,""
"1187","FBXW11",0.0284887326376248,1,1175,""
"1190","EVC",0.0820456680924257,1,2998,""
"1191","DERL2",0.0103419976497995,1,454,""
"1193","NDE1",0.17872940619307,1,5021,""
"1196","AP1M1",0.0911314140623004,1,3247,""
"1197","PVR",0.373283045573972,4.34089735074875e-11,6385,""
"1205","TP63",0.0185016428920537,1,782,""
"1208","PDE8A",0.125404800046773,1,4073,""
"1211","SDHA",0.0593354575103756,1,2308,""
"1219","ABCB11",0.054267879264931,1,2143,""
"1220","DHRS9",0.0342761909175181,1,1398,""
"1222","PTGS2",0.28006436570334,8.91318441603206e-05,6048,""
"1223","IGF2BP2",0.232548411803543,0.0231540658710751,5662,""
"1228","PICALM",0.206185460488006,0.307026096048895,5417,""
"1232","MRPS34",0.013919455214109,1,596,""
"1234","CLNS1A",0.0556669147057214,1,2187,""
"1235","PPP2R2C",0.195042147149757,0.823370206930945,5279,""
"1237","EED",0.107986708126731,1,3685,""
"1238","CDHR2",0.141960814180641,1,4410,""
"1239","SNCB",0.00552403710592547,1,260,""
"1240","TSG101",0.199029633074332,0.581777670243066,5322,""
"1241","NCBP3",0.0181711222586326,1,770,""
"1243","CA12",0.1320601468138,1,4231,""
"1244","MGLL",0.0332580609821288,1,1370,""
"1245","NTN4",0.0144915008396656,1,617,""
"1246","BCS1L",0.133907246605566,1,4265,""
"1257","ENO1",0.376789427347602,2.26896269786788e-11,6397,""
"1259","MYDGF",0.224737683933051,0.051685851970262,5597,""
"1268","TIPIN",0.145899658476,1,4483,""
"1269","SRI",0.0702499876801861,1,2664,""
"1270","EIF4G3",0.135937754117385,1,4307,""
"1271","NUP37",0.178935443487488,1,5029,""
"1272","SEMA3A",0.251975874138412,0.00274223517417487,5839,""
"1273","GTSE1",0.0137091227449285,1,586,""
"1274","SEMA3C",0.412500588000191,1.91600486692414e-14,6469,""
"1278","CELSR1",0.0639452954288208,1,2443,""
"1285","RASAL2",0.0899840914045131,1,3207,""
"1288","MARK3",0.350976671595641,2.24655420852821e-09,6330,""
